date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:37	330/330	---M-Z	200	added ('OK')	text/plain	date:Mon,%2002%20Jan%202023%2020:12:09%20GMT	https://www.subsetmedia.com/robots.txt		(from )
16:01:37	425624/425624	---M-Z	200	added ('OK')	text/html	etag:W/%2239939abeec7203ca8d070d223365ad94%22	https://www.subsetmedia.com/	C:/Users/Programmer/Desktop/web/subset/subset/www.subsetmedia.com/index.html	(from )
16:01:38	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Wed,%2004%20Jan%202023%2014:01:36%20GMT	http://static1.squarespace.com/static/62e18553aef02f736a44f06a/t/62f336ed92e0d76662537124/1660106477321/subset-full.png?format=1500w	C:/Users/Programmer/Desktop/web/subset/subset/static1.squarespace.com/static/62e18553aef02f736a44f06a/t/62f336ed92e0d76662537124/1660106477321/subset-full.026f7.delayed	(from https://www.subsetmedia.com/)
16:01:40	12048/12048	---M--	200	added ('OK')	image/png	etag:CIie2sW6u/kCEAE=	https://images.squarespace-cdn.com/content/62e18553aef02f736a44f06a/a3bd6020-7b9a-46e2-bfd9-337e2f546ed6/subset-full.png?content-type=image%2Fpng	C:/Users/Programmer/Desktop/web/subset/subset/images.squarespace-cdn.com/content/62e18553aef02f736a44f06a/a3bd6020-7b9a-46e2-bfd9-337e2f546ed6/subset-full5d45.png	(from https://www.subsetmedia.com/)
16:01:40	17487/17487	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2004%20Jan%202023%2014:01:38%20GMT	http://use.typekit.net/ik/7DbQ5kwSQcZC27wxlhedKRkRB8AKVnx9cW6qXWAUhbvfeGjIfFHN4UJLFRbh52jhWDjkZQItFQ9DjAmcw24cFDwhjQbXZRMhjsnNMKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdP37O1Fuj1F8ieu8Ze8yO1FUiABkZWF3jAF8OcFzdPUyjamTiY8Djhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1Oco8ifUySkolZPUCdhFydeyzSabCSaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUDiA4DZWslZAsTjPoRdhXCSamKShmXdAmq-AI0SaBujW48Sagyjh90jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80Zko0ZWbCiaiaOcBDOcu8OYiaikoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOYiaikoDiA4DZWslZAsTjPoRdhXCiaiaO1Fuj1F8ieu8Ze8yO1FUiABkZWF3jAF8OcFzdPJFjAlX-WjlZa4ziemD-kJ--WsROABhjAoXOAiyScs8OAizieyTjku3Scv7fbRAdsMMeM96MKGHfOPDMyMgeMw6MKGHfOADMyMgeM96MKGHfO5DMyMgeMS6MTMgXGQq1Mj.js	C:/Users/Programmer/Desktop/web/subset/subset/use.typekit.net/ik/7DbQ5kwSQcZC27wxlhedKRkRB8AKVnx9cW6qXWAUhbvfeGjIfFHN4UJLFRbh52jhWDjkZQItFQ9DjAmcw24cFDwhjQbXZRMhjsnNMKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu	(from https://www.subsetmedia.com/)
16:01:41	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/Users/Programmer/Desktop/web/subset/subset/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.subsetmedia.com/)
16:01:43	45836/45836	---M-Z	200	added ('OK')	text/javascript	etag:%2285c3fbc69cbc11f9e515c3ab04ccdf78%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-379d3a884c121ccc64be4-min.en-US.js	C:/Users/Programmer/Desktop/web/subset/subset/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-379d3a884c121ccc64be4-min.en-US.js	(from https://www.subsetmedia.com/)
16:01:45	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:%22feba7ffa659ec2d96e5042aeea5b3799%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-d7070e8b408cf38ac16f3-min.en-US.js	C:/Users/Programmer/Desktop/web/subset/subset/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-d7070e8b408cf38ac16f3-min.en-US.js	(from https://www.subsetmedia.com/)
16:01:46	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/Users/Programmer/Desktop/web/subset/subset/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.subsetmedia.com/)
16:01:56	245973/245973	---M-Z	200	added ('OK')	text/javascript	etag:%22e0fd189c92df5d045c99919e8d75da5e%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-673d482d883e1c7ecd140-min.en-US.js	C:/Users/Programmer/Desktop/web/subset/subset/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-673d482d883e1c7ecd140-min.en-US.js	(from https://www.subsetmedia.com/)
16:01:59	589307/589307	---M-Z	200	added ('OK')	text/javascript	etag:%2277a546c78e5335ac223ce347591cf662%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	C:/Users/Programmer/Desktop/web/subset/subset/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	(from https://www.subsetmedia.com/)
16:02:04	959965/959965	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Jan%202023%2014:01:58%20GMT	https://static1.squarespace.com/static/versioned-site-css/62e18553aef02f736a44f06a/62/5c5a519771c10ba3470d8101/62e18553aef02f736a44f09f/1331/site.css	C:/Users/Programmer/Desktop/web/subset/subset/static1.squarespace.com/static/versioned-site-css/62e18553aef02f736a44f06a/62/5c5a519771c10ba3470d8101/62e18553aef02f736a44f09f/1331/site.css	(from https://www.subsetmedia.com/)
16:02:05	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2004%20Jan%202023%2014:02:03%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Programmer/Desktop/web/subset/subset/www.googletagmanager.com/gtm.d5445.delayed	(from https://www.subsetmedia.com/)
16:02:06	105105/105105	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2004%20Jan%202023%2014:02:04%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Programmer/Desktop/web/subset/subset/connect.facebook.net/en_US/fbevents.js	(from https://www.subsetmedia.com/)
16:02:10	261679/261679	---M-Z	200	added ('OK')	text/javascript	etag:%2216b588c23ae6fbef0040707d5b9963f1%22	http://assets.squarespace.com/universal/scripts-compressed/performance-ab3c5a52dcba10089a517-min.en-US.js	C:/Users/Programmer/Desktop/web/subset/subset/assets.squarespace.com/universal/scripts-compressed/performance-ab3c5a52dcba10089a517-min.en-US.js	(from https://www.subsetmedia.com/)
16:02:12	276327/276327	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2014:02:06%20GMT	https://www.subsetmedia.com/cart	C:/Users/Programmer/Desktop/web/subset/subset/www.subsetmedia.com/cart.html	(from https://www.subsetmedia.com/)
16:02:12	12048/12048	---M--	200	added ('OK')	image/png	etag:CIie2sW6u/kCEAE=	http://images.squarespace-cdn.com/content/v1/62e18553aef02f736a44f06a/a3bd6020-7b9a-46e2-bfd9-337e2f546ed6/subset-full.png?format=1500w	C:/Users/Programmer/Desktop/web/subset/subset/images.squarespace-cdn.com/content/v1/62e18553aef02f736a44f06a/a3bd6020-7b9a-46e2-bfd9-337e2f546ed6/subset-full26f7.png	(from https://www.subsetmedia.com/)
16:02:14	404902/404902	---M-Z	200	added ('OK')	text/html	etag:W/%228c3e68ede731020fa6857e5f9757a976--gzip%22	https://www.subsetmedia.com/creative	C:/Users/Programmer/Desktop/web/subset/subset/www.subsetmedia.com/creative.html	(from https://www.subsetmedia.com/)
16:02:18	393773/393773	---M-Z	200	added ('OK')	text/html	etag:W/%226d13646eaf91aede9d391c973d64c0ca%22	https://www.subsetmedia.com/work	C:/Users/Programmer/Desktop/web/subset/subset/www.subsetmedia.com/work.html	(from https://www.subsetmedia.com/)
